iter	Passed	Remaining
442	1241	1560
443	1243	1557
444	1245	1553
445	1248	1550
446	1250	1546
447	1252	1543
448	1254	1539
449	1256	1535
450	1259	1532
451	1261	1529
452	1263	1525
453	1266	1522
454	1268	1519
455	1270	1516
456	1273	1512
457	1275	1509
458	1278	1507
459	1280	1503
460	1282	1500
461	1285	1497
462	1288	1494
463	1290	1490
464	1292	1487
465	1294	1483
466	1297	1480
467	1299	1477
468	1301	1473
469	1304	1470
470	1306	1467
471	1309	1464
472	1311	1461
473	1313	1457
474	1315	1454
475	1318	1451
476	1320	1447
477	1322	1444
478	1325	1441
479	1327	1438
480	1329	1434
481	1331	1431
482	1333	1427
483	1336	1425
484	1339	1421
485	1341	1419
486	1344	1416
487	1346	1412
488	1349	1409
489	1352	1407
490	1354	1404
491	1356	1400
492	1359	1397
493	1361	1394
494	1363	1391
495	1366	1388
496	1369	1385
497	1371	1382
498	1373	1379
499	1375	1375
500	1378	1372
501	1381	1370
502	1383	1367
503	1385	1363
504	1388	1360
505	1390	1357
506	1392	1354
507	1395	1351
508	1397	1348
509	1400	1345
510	1402	1342
511	1405	1339
512	1407	1336
513	1410	1333
514	1412	1330
515	1415	1327
516	1417	1324
517	1420	1322
518	1423	1319
519	1425	1316
520	1428	1313
521	1430	1310
522	1432	1306
523	1435	1303
524	1437	1300
525	1440	1298
526	1443	1295
527	1446	1292
528	1448	1289
529	1451	1287
530	1453	1283
531	1455	1280
532	1458	1277
533	1460	1274
534	1463	1271
535	1465	1268
536	1467	1265
537	1470	1262
538	1472	1259
539	1475	1256
540	1477	1253
541	1479	1250
542	1481	1247
543	1484	1244
544	1486	1241
545	1489	1238
546	1491	1235
547	1493	1232
548	1496	1229
549	1498	1226
550	1500	1223
551	1502	1219
552	1505	1216
553	1507	1213
554	1510	1210
555	1512	1207
556	1514	1204
557	1516	1201
558	1518	1198
559	1520	1194
560	1523	1191
561	1525	1189
562	1528	1186
563	1530	1183
564	1532	1180
565	1534	1176
566	1536	1173
567	1539	1170
568	1541	1167
569	1544	1165
570	1546	1162
571	1548	1159
572	1551	1155
573	1553	1153
574	1556	1150
575	1558	1146
576	1560	1143
577	1562	1140
578	1565	1138
579	1567	1135
580	1570	1132
581	1573	1129
582	1575	1127
583	1578	1124
584	1580	1121
585	1582	1118
586	1585	1115
587	1587	1112
588	1589	1109
589	1592	1106
590	1594	1103
591	1597	1100
592	1599	1097
593	1602	1095
594	1604	1091
595	1606	1088
596	1609	1086
597	1611	1083
598	1613	1080
599	1616	1077
600	1618	1074
601	1621	1071
602	1624	1069
603	1626	1066
604	1629	1063
605	1632	1061
606	1634	1058
607	1637	1055
608	1639	1052
609	1642	1050
610	1645	1047
611	1647	1044
612	1650	1041
